municipio,populacao
Abadia dos Dourados,6365
Abaeté,23161
Abre Campo,14312
Acaiaca,3997
Açucena,8995
Água Boa,12545
Água Comprida,2165
Aguanil,4490
Águas Formosas,18841
Águas Vermelhas,14486
Aimorés,26165
Aiuruoca,6382
Alagoa,2816
Albertina,3023
Além Paraíba,31333
Alfenas,81950
Alfredo Vasconcelos,7184
Almenara,41894
Alpercata,7029
Alpinópolis,18672
Alterosa,14253
Alto Caparaó,5982
Alto Rio Doce,10994
Alvarenga,4012
Alvinópolis,15360
Alvorada de Minas,4322
Amparo do Serra,4595
Andradas,42282
Cachoeira de Pajeú,9333
Andrelândia,12169
Angelândia,7860
Antônio Carlos,11345
Antônio Dias,9388
Antônio Prado de Minas,1558
Araçaí,2224
Aracitaba,2095
Araçuaí,35250
Araguari,122874
Arantina,2991
Araponga,8218
Araporã,8935
Arapuá,2674
Araújos,9556
Araxá,117677
Arceburgo,9348
Arcos,43348
Areado,14212
Argirita,2725
Aricanduva,4820
Arinos,17598
Astolfo Dutra,14565
Ataléia,13967
Augusto de Lima,4593
Baependi,18768
Baldim,7614
Bambuí,24144
Bandeira,4821
Bandeira do Sul,6146
Barão de Cocais,32095
Barão de Monte Alto,4991
Barbacena,129630
Barra Longa,5740
Barroso,20566
Bela Vista de Minas,10412
Belmiro Braga,3299
Belo Horizonte,2416339
Belo Oriente,24503
Belo Vale,8946
Berilo,9769
Bertópolis,4546
Berizal,4277
Betim,429236
Bias Fortes,3388
Bicas,14331
Biquinhas,2409
Boa Esperança,41332
Bocaina de Minas,5508
Bocaiúva,49668
Bom Despacho,53995
Bom Jardim de Minas,6968
Bom Jesus da Penha,4642
Bom Jesus do Amparo,5775
Bom Jesus do Galho,14756
Bom Repouso,13183
Bom Sucesso,17510
Bonfim,7672
Bonfinópolis de Minas,5615
Bonito de Minas,10491
Borda da Mata,17811
Botelhos,15137
Botumirim,5841
Brasilândia de Minas,15432
Brasília de Minas,33188
Brás Pires,4314
Braúnas,4475
Brazópolis,14506
Brumadinho,40777
Bueno Brandão,11161
Buenópolis,9229
Bugre,4149
Buritis,24693
Buritizeiro,24068
Cabeceira Grande,6797
Cabo Verde,11396
Cachoeira da Prata,3781
Wenceslau Braz,2387
